scene_id,condition,strategy,run_count,pair_count,mean_node_overlap,mean_edge_agreement
indego_user_14_user_15_2410_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_15_2410_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_15_411_1010_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_15_411_1010_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_user_15_411_1010_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_15_411_1010_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_16_407_1712_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_16_407_1712_1_s1,raw,layered,2,1,1.0,1.0
indego_user_14_user_16_407_1712_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_16_407_1712_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_17_411_2810_table_assembly_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_17_411_2810_table_assembly_s1,raw,layered,2,1,1.0,1.0
indego_user_14_user_17_411_2810_table_assembly_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_17_411_2810_table_assembly_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_1_1410_2_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_1_1410_2_s1,raw,layered,2,1,1.0,1.0
indego_user_14_user_1_1410_2_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_1_1410_2_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_14_user_2_407_2210_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_14_user_2_407_2210_1_s1,raw,layered,2,1,0.428571,0.111111
indego_user_14_user_2_407_2210_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_14_user_2_407_2210_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_1_s1,raw,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_411_2309_2_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_s1,raw,layered,2,1,1.0,1.0
indego_user_15_411_2309_2_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_411_2309_2_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_412_0110_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_412_0110_1_s1,raw,layered,2,1,1.0,1.0
indego_user_15_412_0110_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_412_0110_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_412_2509_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_412_2509_1_s1,raw,layered,2,1,1.0,1.0
indego_user_15_412_2509_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_412_2509_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s1,raw,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_414_0702_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s11,auto_unified,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s11,raw,layered,2,1,1.0,1.0
indego_user_15_414_0702_1_s11,raw,one_shot,2,1,1.0,1.0
indego_user_15_414_0702_1_s11,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_451_2401_1_s4,auto_unified,layered,2,1,1.0,1.0
indego_user_15_451_2401_1_s4,raw,layered,2,1,1.0,1.0
indego_user_15_451_2401_1_s4,raw,one_shot,2,1,1.0,1.0
indego_user_15_451_2401_1_s4,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_user_17_410_2210_2_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_user_17_410_2210_2_s1,raw,layered,2,1,1.0,0.428571
indego_user_15_user_17_410_2210_2_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_user_17_410_2210_2_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_15_user_1_0111_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_15_user_1_0111_1_s1,raw,layered,2,1,1.0,1.0
indego_user_15_user_1_0111_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_15_user_1_0111_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_16_410_2110_2_s2,auto_unified,layered,2,1,0.0,0.0
indego_user_16_410_2110_2_s2,raw,layered,2,1,1.0,1.0
indego_user_16_410_2110_2_s2,raw,one_shot,2,1,1.0,1.0
indego_user_16_410_2110_2_s2,reviewed_unified,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s1,raw,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_16_414_2101_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s2,auto_unified,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s2,raw,layered,2,1,1.0,1.0
indego_user_16_414_2101_1_s2,raw,one_shot,2,1,1.0,1.0
indego_user_16_414_2101_1_s2,reviewed_unified,layered,2,1,1.0,1.0
indego_user_16_user_2_0111_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_16_user_2_0111_1_s1,raw,layered,2,1,1.0,1.0
indego_user_16_user_2_0111_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_16_user_2_0111_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_user_17_user_15_451_0402_1_s3,auto_unified,layered,2,1,1.0,1.0
indego_user_17_user_15_451_0402_1_s3,raw,layered,2,1,1.0,1.0
indego_user_17_user_15_451_0402_1_s3,raw,one_shot,2,1,1.0,1.0
indego_user_17_user_15_451_0402_1_s3,reviewed_unified,layered,2,1,1.0,1.0
indego_user_2_407_2910_1_s1,auto_unified,layered,2,1,1.0,1.0
indego_user_2_407_2910_1_s1,raw,layered,2,1,1.0,1.0
indego_user_2_407_2910_1_s1,raw,one_shot,2,1,1.0,1.0
indego_user_2_407_2910_1_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_warning_A_Task_08_s1,auto_unified,layered,2,1,1.0,1.0
indego_warning_A_Task_08_s1,raw,layered,2,1,1.0,1.0
indego_warning_A_Task_08_s1,raw,one_shot,2,1,1.0,1.0
indego_warning_A_Task_08_s1,reviewed_unified,layered,2,1,1.0,1.0
indego_warning_A_Task_19_s1,auto_unified,layered,2,1,1.0,1.0
indego_warning_A_Task_19_s1,raw,layered,2,1,1.0,1.0
indego_warning_A_Task_19_s1,raw,one_shot,2,1,1.0,1.0
indego_warning_A_Task_19_s1,reviewed_unified,layered,2,1,1.0,1.0
